t, x(t)
2.200000, 3.352400
2.300000, 3.290003
2.400000, 3.325197
2.500000, 3.323448
2.600000, 3.314349
2.700000, 3.275712
2.800000, 3.009952
2.900000, 2.818235
3.000000, 2.740582
3.100000, 2.495636
3.200000, 2.242723
3.300000, 2.020461
3.400000, 1.848137
3.500000, 1.666480
3.600000, 1.414262
3.700000, 1.287009
3.800000, 1.151573
3.900000, 1.011041
4.000000, 0.905759
4.100000, 0.784219
4.200000, 0.752391
4.300000, 0.663915
4.400000, 0.589916
4.500000, 0.541100
4.600000, 0.499873
4.700000, 0.446352
4.800000, 0.424508
4.900000, 0.401497
5.000000, 0.372390
5.100000, 0.359357
5.200000, 0.349125
5.300000, 0.348681
5.400000, 0.352844
5.500000, 0.337952
5.600000, 0.326513
5.700000, 0.317883
5.800000, 0.338197
5.900000, 0.366652
6.000000, 0.394031
6.100000, 0.412734
6.200000, 0.427714
6.300000, 0.464117
6.400000, 0.476187
6.500000, 0.521307
6.600000, 0.601521
6.700000, 0.670390
6.800000, 0.704974
6.900000, 0.774855
7.000000, 0.863219
7.100000, 0.960054
7.200000, 1.036641
7.300000, 1.141452
7.400000, 1.211021
7.500000, 1.356054
7.600000, 1.470671
7.700000, 1.642494
7.800000, 1.754503
7.900000, 1.941866
8.000000, 2.096766
8.100000, 2.252000
8.200000, 2.175518
8.300000, 2.406077
8.400001, 2.520497
8.500000, 2.585517
8.600000, 2.641556
8.700000, 2.652310
8.800000, 2.584739
8.900001, 2.412269
9.000000, 2.285242
9.100000, 2.102736
9.200000, 2.033552
9.300000, 1.833362
9.400001, 1.617942
9.500000, 1.558248
9.600000, 1.484459
9.700000, 1.245689
9.800000, 1.172756
9.900001, 1.086344
0.000000, 1.000000
0.100000, 1.091574
0.200000, 1.245674
0.300000, 1.292616
0.400000, 1.413354
0.500000, 1.611594
0.600000, 1.798159
0.700000, 1.949221
0.800000, 2.135999
0.900000, 2.188983
1.000000, 2.464329
1.100000, 2.725103
1.200000, 2.856545
1.300000, 3.132619
1.400000, 3.395154
1.500000, 3.668160
1.600000, 4.005875
1.700000, 4.251212
1.800000, 4.357610
1.900000, 4.585550
2.000000, 4.893871
2.100000, 4.936291
2.200000, 4.984775
2.300000, 5.110208
2.400000, 5.138156
2.500000, 4.910505
2.600000, 4.718109
2.700000, 4.706555
2.800000, 4.295378
2.900000, 3.807863
3.000000, 3.468963
3.100000, 3.269935
3.200000, 3.102349
3.300000, 3.053984
3.400000, 2.772310
3.500000, 2.552879
3.600000, 2.253455
3.700000, 1.987029
3.800000, 1.881882
3.900000, 1.728636
4.000000, 1.553690
4.100000, 1.426387
4.200000, 1.279145
4.300000, 1.183647
4.400000, 1.110555
4.500000, 1.001942
4.600000, 0.945653
4.700000, 0.936722
4.800000, 0.903927
4.900000, 0.851463
5.000000, 0.806840
5.100000, 0.743682
5.200000, 0.693505
5.300000, 0.647432
5.400000, 0.665316
5.500000, 0.646120
5.600000, 0.641456
5.700000, 0.679280
5.800000, 0.715162
5.900000, 0.728632
6.000000, 0.713443
6.100000, 0.730992
6.200000, 0.774058
6.300000, 0.821579
6.400000, 0.874731
6.500000, 0.950558
6.600000, 1.077873
6.700000, 1.137144
6.800000, 1.261998
6.900000, 1.396453
7.000000, 1.513231
7.100000, 1.697219
7.200000, 1.855317
7.300000, 1.941347
7.400000, 2.106906
7.500000, 2.335039
7.600000, 2.500397
7.700000, 2.599495
7.800000, 2.962831
7.900000, 3.341222
8.000000, 3.616619
8.100000, 3.783869
8.200000, 3.864983
8.300000, 3.965305
8.400001, 4.204979
8.500000, 4.376894
8.600000, 4.490623
8.700000, 4.250873
8.800000, 4.100324
8.900001, 3.750653
9.000000, 3.693498
9.100000, 3.391382
9.200000, 3.332843
9.300000, 2.861915
9.400001, 2.691926
9.500000, 2.433387
9.600000, 2.241181
9.700000, 1.874169
9.800000, 1.713546
9.900001, 1.513010
0.000000, 1.000000
0.100000, 1.049634
0.200000, 1.129763
0.300000, 1.249741
0.400000, 1.369913
0.500000, 1.477467
0.600000, 1.626013
0.700000, 1.809613
0.800000, 1.852016
0.900000, 2.046893
1.000000, 2.276975
1.100000, 2.390364
1.200000, 2.532168
1.300000, 2.663615
1.400000, 2.870760
1.500000, 3.035824
1.600000, 3.306537
1.700000, 3.463271
1.800000, 3.590356
1.900000, 3.593604
2.000000, 3.721043
2.100000, 3.820764
2.200000, 3.917863
2.300000, 3.989180
2.400000, 4.106490
2.500000, 4.101635
2.600000, 4.020468
2.700000, 3.836411
2.800000, 3.766987
2.900000, 3.615284
3.000000, 3.449478
3.100000, 3.072928
3.200000, 2.873358
3.300000, 2.648039
3.400000, 2.418423
3.500000, 2.204914
3.600000, 2.015052
3.700000, 1.747777
3.800000, 1.564020
3.900000, 1.387221
4.000000, 1.183903
4.100000, 1.124266
4.200000, 1.029994
4.300000, 0.890567
4.400000, 0.813182
4.500000, 0.716904
4.600000, 0.691435
4.700000, 0.581003
4.800000, 0.568649
4.900000, 0.561868
5.000000, 0.500245
5.100000, 0.474754
5.200000, 0.452597
5.300000, 0.438424
5.400000, 0.432439
5.500000, 0.452751
5.600000, 0.445820
5.700000, 0.475821
5.800000, 0.461660
5.900000, 0.500431
6.000000, 0.533216
6.100000, 0.573900
6.200000, 0.601098
6.300000, 0.660156
